date,countryCode,country,provinceCode,province,cityCode,city,confirmed,suspected,cured,dead
2020-04-30,CN,中国,350000,福建省,3500y0,境外输入,59,0,58,0
2020-04-30,CN,中国,350000,福建省,350100,福州市,72,0,71,1
2020-04-30,CN,中国,350000,福建省,350200,厦门市,35,0,35,0
2020-04-30,CN,中国,350000,福建省,350300,莆田市,56,0,56,0
2020-04-30,CN,中国,350000,福建省,350400,三明市,14,0,14,0
2020-04-30,CN,中国,350000,福建省,350500,泉州市,47,0,47,0
2020-04-30,CN,中国,350000,福建省,350600,漳州市,20,0,20,0
2020-04-30,CN,中国,350000,福建省,350700,南平市,20,0,20,0
2020-04-30,CN,中国,350000,福建省,350800,龙岩市,6,0,6,0
2020-04-30,CN,中国,350000,福建省,350900,宁德市,26,0,26,0
2020-04-30,CN,中国,360000,江西省,,,937,0,936,1
2020-04-30,CN,中国,360000,江西省,3600db,赣江新区,1,0,1,0
2020-04-30,CN,中国,360000,江西省,3600y0,境外输入,2,0,2,0
2020-04-30,CN,中国,360000,江西省,360100,南昌市,230,0,230,0
2020-04-30,CN,中国,360000,江西省,360200,景德镇市,6,0,6,0
2020-04-30,CN,中国,360000,江西省,360300,萍乡市,33,0,33,0
2020-04-30,CN,中国,360000,江西省,360400,九江市,118,0,118,0
2020-04-30,CN,中国,360000,江西省,360500,新余市,130,0,130,0
2020-04-30,CN,中国,360000,江西省,360600,鹰潭市,18,0,18,0
2020-04-30,CN,中国,360000,江西省,360700,赣州市,76,0,75,1
2020-04-30,CN,中国,360000,江西省,360800,吉安市,22,0,22,0
2020-04-30,CN,中国,360000,江西省,360900,宜春市,106,0,106,0
2020-04-30,CN,中国,360000,江西省,361000,抚州市,72,0,72,0
2020-04-30,CN,中国,360000,江西省,361100,上饶市,123,0,123,0
2020-04-30,CN,中国,370000,山东省,,,787,0,772,7
2020-04-30,CN,中国,370000,山东省,3700y0,境外输入,24,0,20,0
2020-04-30,CN,中国,370000,山东省,370100,济南市,47,0,47,0
2020-04-30,CN,中国,370000,山东省,370200,青岛市,65,0,60,1
2020-04-30,CN,中国,370000,山东省,370300,淄博市,30,0,29,1
2020-04-30,CN,中国,370000,山东省,370400,枣庄市,24,0,24,0
2020-04-30,CN,中国,370000,山东省,370500,东营市,0,0,0,0
2020-04-30,CN,中国,370000,山东省,370600,烟台市,47,0,47,0
2020-04-30,CN,中国,370000,山东省,370700,潍坊市,44,0,44,0
2020-04-30,CN,中国,370000,山东省,370800,济宁市,260,0,260,0
2020-04-30,CN,中国,370000,山东省,370900,泰安市,35,0,33,2
2020-04-30,CN,中国,370000,山东省,371000,威海市,38,0,37,1
2020-04-30,CN,中国,370000,山东省,371100,日照市,16,0,16,0
2020-04-30,CN,中国,370000,山东省,371300,临沂市,49,0,49,0
2020-04-30,CN,中国,370000,山东省,371400,德州市,37,0,35,2
2020-04-30,CN,中国,370000,山东省,371500,聊城市,38,0,38,0
2020-04-30,CN,中国,370000,山东省,371600,滨州市,15,0,15,0
2020-04-30,CN,中国,370000,山东省,371700,菏泽市,18,0,18,0
2020-04-30,CN,中国,410000,河南省,,,1276,0,1254,22
2020-04-30,CN,中国,410000,河南省,4100y0,境外输入,3,0,3,0
2020-04-30,CN,中国,410000,河南省,410100,郑州市,157,0,152,5
2020-04-30,CN,中国,410000,河南省,410200,开封市,26,0,26,0
2020-04-30,CN,中国,410000,河南省,410300,洛阳市,31,0,30,1
2020-04-30,CN,中国,410000,河南省,410400,平顶山市,58,0,57,1
2020-04-30,CN,中国,410000,河南省,410500,安阳市,53,0,53,0
2020-04-30,CN,中国,410000,河南省,410600,鹤壁市,19,0,19,0
2020-04-30,CN,中国,410000,河南省,410700,新乡市,57,0,54,3
2020-04-30,CN,中国,410000,河南省,410800,焦作市,32,0,31,1
2020-04-30,CN,中国,410000,河南省,410900,濮阳市,17,0,17,0
2020-04-30,CN,中国,410000,河南省,411000,许昌市,39,0,38,1
2020-04-30,CN,中国,410000,河南省,411100,漯河市,36,0,36,0
2020-04-30,CN,中国,410000,河南省,411200,三门峡市,7,0,6,1
2020-04-30,CN,中国,410000,河南省,411300,南阳市,156,0,153,3
2020-04-30,CN,中国,410000,河南省,411400,商丘市,91,0,88,3
2020-04-30,CN,中国,410000,河南省,411500,信阳市,274,0,272,2
2020-04-30,CN,中国,410000,河南省,411600,周口市,76,0,75,1
2020-04-30,CN,中国,410000,河南省,411700,驻马店市,139,0,139,0
2020-04-30,CN,中国,410000,河南省,419001,济源市,5,0,5,0
